David,Vaca,1020356966,4989390025936008,527000.0,false,1
Camila,Vanegas,1215356968,4881218171465226,1200000.0,false,3
Paula,Vanegas,1025487699,4787391598109373,96000.0,false,2
Fabio,Bombiela,1012353633,4368260466930185,659000.0,false,2
Jorge,Jimenez,1112023534,4007218408274986,180700.0,false,2
Dayana,Figueredo,1020856566,48414999847899,150050.0,false,3
Miguel,Mejia,1015895768,40838058917151,50000.0,false,1
Carla,Marquez,1156759899,46662708298646,2080.0,false,1
Juan,Sierra,1020878588,40911884189574,1000000.0,false,3
Santiago,Cabrales,1016359678,46337029445701,827000.0,false,3
